text,source
"I love working here! The team is fantastic and the projects are incredibly exciting.",Employee Review
"This company has terrible management. The culture is toxic and no one listens to feedback.",Glassdoor Review
"The salary is average and the benefits are okay. Nothing extraordinary but nothing bad either.",LinkedIn Comment
"Amazing career growth opportunities! I was promoted twice in two years. Highly recommend.",Indeed Review
"The onboarding process was confusing and poorly organized. I felt completely lost in my first week.",Forum Post
"Excellent work-life balance and very supportive leadership. I feel valued as an employee.",Twitter
"The job description was misleading. The actual role has nothing to do with what was advertised.",Job Portal
"I am thrilled to join this organization. The mission resonates deeply with my personal values.",Application Letter
"Repeated layoffs and poor communication from the top made everyone anxious and uncertain.",News Article
"The professional development process is comprehensive and the mentors are genuinely invested in your growth.",Career Blog
